SLOVKIA,SR.,Report Mail ID,COMPANY NAME,NUMBER 1,NUMBER 2,WEBSITE LINK,Company details ,EMAIL 1,EMAIL 2,EMAIL 3 purchase manger ,LINKEDIN,LINKEDIN (Company),INSTAGRAM,FACEBOOK,ADDRESS,REMARKS
,1,info@keeva.sk,"KEEVA,s.r.o.",,+421 917992310,http://www.keeva.sk/,,,info@keeva.sk,,,,,,,Tiles Store
,2,ingema@ingema.sk,Ingema 1,+421 905612463,+421 905243125,https://www.ingema.sk/,+421 905612463,+421 905612463 @slovakia ,,,,,,https://www.facebook.com/ingemask,,tiles design store
,3,bratislava@maag.sk,,,,,,,,,,,,,,
,4,FAJTH@FAJTH.SK,FAJTH Ltd. - Bathroom Studio,,+421 905468695,http://www.fajth.sk/,,,,,,,,,,Building Material Store
,5,info@rako.cz,RAKO,+421 556782864,+421 244257152,https://www.rako.cz/sk,,,,,,,,https://www.rako.cz/sk,,Tiles Store
,6,info@pitoreska.sk,Pitoreska,,+421 908142028,http://www.pitoreska.sk/,,,,,,,,,,Tiles Store
,7,cyprian.sanka@laminam.sk,Laminam s.r.o.,,+421 911811449,https://laminam.sk/,,,,,,,,,,Tiles Store
,8,obchod@eso.sk,ESO - Bathroom and indoor studio,,+421 915878706,https://www.eso.sk/,,,,,,,,,,Tiles Store
,9,info@centrumdlazieb.sk,Centrum Dlažieb Prešov,,+421 911727727,https://centrumdlazieb.sk/,,,,,,,,,,
,10,info@klocok.eu,"KLOCOK Poprad, s.r.o.",,+421 915929289,http://www.klocok.eu/,,,,,,,,,,Building Material Store
,11,info@kkcorp.sk,KK Corp s.r.o.,,,http://www.kkcorp.sk/,,,,,,,,,,Construction Company
,12,info@keramika.sk,REHAK KERAMIKA,,+421 905553555,keramika.sk,,,,,,,,https://www.facebook.com/rehakkeramika/,,construction company
,13,info.sk@velux.com,velux,,+421 233000543,velux.com,,,,,,,,https://www.facebook.com/velux/,,
,14,BAKERA@BAKERA.SK,BAKERA s.r.o.,,+421 556429242,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SLOVINIA,SR.,Report Mail ID,COMPANY NAME,NUMBER 1,NUMBER 2,WEBSITE LINK,Company details ,EMAIL 1,EMAIL 2,EMAIL 3 purchase manger ,LINKEDIN,LINKEDIN (Company),INSTAGRAM,FACEBOOK,ADDRESS,REMARKS
,1,info@gpm-mozaik.si,Gpm mozaik d.o.o.,+386 31713121,,https://www.gpm-mozaik.si/,,info@gpm-mozaik.si,,,,,,,,
,2,jernej.konjar@siol.net,Jernej d.o.o.,+386 51628246,,https://www.jernej.si/,,jernej.konjar@siol.net,,,,,,,,
,3,info@kamnoseski-center.si,"Kamnoseški Center 
d.o.o.",+386 45353760,,"http://www.kamnoseski-
center.si/",,info@kamnoseski-center.si,,,,,,https://www.facebook.com/KamnoseskiCenter,,
,4,info@bf-stopnice.si,Omc d.o.o. 2,+386 51428273,,https://www.stopnice.si/,,"info@bf-stopnice.si
info@omc.si",,,,,,https://www.facebook.com/dekorativni.kamen.omc,,
,5,info@stonedesign.si,Stone Design d.o.o.,+386 31701555,,https://www.stonedesign.si,,info@stonedesign.si,,,,,,,,
,6,vsebo@vsebo.si,"VSEBO - spletna trgovina za dom, pisarno... življenje",+386 803060,+386 30720070,https://vsebo.si/,,vsebo@vsebo.si,,,,,,,"Ljubljana, Slovenia",
,7,matejka@zener.si,Aquanobile,+386 15654780,+386 56313280,https://www.aquanobile.si/,,matejka@zener.si,,,,,,,"Ljubljana, Slovenia",
,8,info@martin.si,MARTIN D.O.O.,+386 17770070,+386 37132600,https://www.martin.si/,,info@martin.si,,,,,,,"Ljubljana, Slovenia",
,9,avenus@avenus.si,"Avenus, trgovina, proizvodnja in storitve d.o.o.",+386 14379350,+386 31628882,https://www.avenus.si/,,avenus@avenus.si,,,,,,,"Ljubljana, Slovenia",
,10,svetovanje@veto.si,Veto wholesale d.o.o.,+386 15809100,+386 51411600,https://www.veto.si/,,"k.podbevsek@veto.si
info@veto.si
i.gluvic@veto.si
t.dobravec@veto.si
svetovanje@veto.si
info@eltron.si
info@vodoterm.si
info@megaterm.si
saso@megaterm.si
koper@megaterm.si
info@slada.si
info@fiver.si
info@meza.si
info@inhouse.si",,,,,,https://www.facebook.com/vetogroup19,"Ljubljana, Slovenia",
,11,info@inhouse.si,Veto wholesale d.o.o.,+386 15809100,+386 51411600,https://www.veto.si/,,"k.podbevsek@veto.si
info@veto.si
i.gluvic@veto.si
t.dobravec@veto.si
svetovanje@veto.si
info@eltron.si
info@vodoterm.si
info@megaterm.si
saso@megaterm.si
koper@megaterm.si
info@slada.si
info@fiver.si
info@meza.si
info@inhouse.si",,,,,,https://www.facebook.com/vetogroup19,"Ljubljana, Slovenia",
,12,info@sanotechnik.si,SANOTECHNIK d.o.o,+386 24213350,,https://www.sanotechnik.com/,,info@sanotechnik.si,,,,,,https://www.facebook.com/sanotechnikdoo/,"Maribor, Slovenia",
,13,info@adenma.si,"ADENMA - obnova in prenova kopalnic, adaptacije",+386 70505506,,https://adenma.si/,,info@adenma.si,,,,,,https://www.facebook.com/people/Adenma-obnova-in-prenova-kopalnic/61555298173933,"Maribor, Slovenia",
,14,info@keramin.si,Keramin,+386 51610489,+386 23312612,https://www.keramin.si/,,info@keramin.si,,,,,,https://www.facebook.com/keramin.eu,"Maribor, Slovenia",
,15,webshop@tehnoles.si,Tehnoles,+386 26554444,,https://www.tehnoles.si/,,webshop@tehnoles.si info@tehnoles.si,,,,,,https://www.facebook.com/tehnolesslovenija,"Maribor, Slovenia",
,16,info@tehnoles.si,Tehnoles,+386 26554444,,https://www.tehnoles.si/,,webshop@tehnoles.si info@tehnoles.si,,,,,,https://www.facebook.com/tehnolesslovenija,"Maribor, Slovenia",
,17,info@topkopalnice.si,TopKopalnice - salon keramike,+386 42010003,,https://topkopalnice.si/,,info@topkopalnice.si,,,,,,https://www.facebook.com/topkopalnice.td/,,
,18,petra.hudovernik@zeleznina.si,Železnina Hudovernik ,+386 38982350,,https://www.zeleznina.si/,,"petra.hudovernik@zeleznina.si
info@zeleznina.si",,,,,,https://www.facebook.com/zeleznina.hudovernikdoo?fref=ts,,
,,,,,,,,,,,,,,,,
Belgium,SR.,Report Mail ID,COMPANY NAME,NUMBER 1,NUMBER 2,WEBSITE LINK,Company details ,EMAIL 1,EMAIL 2,EMAIL 3 purchase manger ,LINKEDIN,LINKEDIN (Company),INSTAGRAM,FACEBOOK,ADDRESS,REMARKS
,1,info@kvik.com,Kvik Merksem + Belgium,+32 32833250,+45 72117000,https://www.kvik.be/nl-be/vind-een-winkel/kvik-merksem?utm_source=google&utm_medium=organic&utm_campaign=website&utm_content=merksem,,customercare@kvik.be/info@kvik.be/customercare.fr@kvik.be/info@kvik.com/maartenho@antwerpen.kvik.be/leenmaes@antwerpen.kvik.be/chrisme@antwerpen.kvik.be/thomasve@antwerpen.kvik.be/naam@email.com,,,https://www.linkedin.com/company/kvik-as/,,https://www.instagram.com/kvikmerksem/,https://www.facebook.com/KvikMerksem/,"Bredabaan 960, 2170 Antwerpen, Belgium","Sanitary,Tiles"
,2,info@rozetta.be,ROZETTA tiles + Belgium,+32 36662800,,http://www.rozetta.be/,,info@rozetta.be/katrien@rozetta.be/elke@rozetta.be/laurent@rozetta.be/tineke@rozetta.be,,,,,https://www.instagram.com/rozetta_tiles/,https://www.facebook.com/rozettatiles/?fref=ts#,"Museumstraat 31/De Max Horn-Zaal, 2000 Antwerpen, Belgium",Tiles
,3,borgerhout@hitobo.be,Hitobo Deurne + Belgium,+32 32725926,+32 470648703,https://hitobo.be/,,borgerhout@hitobo.be,,,,,https://www.instagram.com/hitobo.be/,https://www.facebook.com/hitobo.be/,"Stevenslei 41, 2100 Antwerpen, Belgium",Tiles
,4,info@tegelfabriek.be,Tegelfabriek + Belgium,+32 468277033,,http://www.tegelfabriek.be/,,info@tegelfabriek.be,,,,,https://www.instagram.com/tegel.fabriek/,https://www.facebook.com/profile.php?id=100086812087550,"Herentalsebaan 129, 2100 Antwerpen, Belgium",Tiles
,5,portugal@mosaicfactory.com,Mosaic Factory - Nederland & België + Belgium,+31 208112230,,https://www.mosaicfactory.com/nl/,,portugal@mosaicfactory.com/info-es@mosaicfactory.com/marketing@mosaicfactory.com/info-nl@mosaicfactory.com,,,https://www.linkedin.com/company/mosaicfactory/?originalSubdomain=uk,,https://www.instagram.com/mosaic.factory/,https://www.facebook.com/MosaicFactoryUs/,,Sanitary
,6,info@hc-concept.be,Houseconcept + Belgium,+32 485878623,+32 32949582,https://hc-concept.be/,,info@hc-concept.be,,,https://www.linkedin.com/company/house-concept-store/,,https://www.instagram.com/houseconcept_antwerpen/,,"Confortalei 270/280, 2100 Antwerpen, Belgium","Sanitary,Tiles"
,7,info@decomarket.be,Decomarket + Belgium,+32 32379880,,https://www.decomarket.be/,,info@decomarket.be,,,,,,https://www.facebook.com/decomarket.be,"Aartselaarstraat 248, 2660 Antwerpen, Belgium",Tiles
,8,info@bouwlandantwerpen.be,Bouwland Antwerpen + Belgium,+32 38301016,,https://www.bouwlandantwerpen.be/,,info@bouwlandantwerpen.be,,,,,https://www.instagram.com/bouwlandantwerpen/,https://www.facebook.com/bouwlandantwerpen.antwerp,,Tiles
,9,info@tegelsvandyck.be,Van Dyck Emiel N.V. + Belgium,+32 34556225,,http://www.tegelsvandyck.be/,,info@tegelsvandyck.be,,,,,,,"Herentalsebaan 421 - 423, 2160 Wommelgem, Belgium",Tiles
,10,info@belmat.be,Belmat + Belgium,+32 36677007,,http://www.belmat.be/,,info@belmat.be/jsmith@belmat.be/tufan@belmat.be/info@deurne.nl,,,,,https://www.instagram.com/belmatbouwmaterialen/,https://www.facebook.com/belmatbvba/,"Veldstraat 54, 2060 Antwerpen, Belgium",Tiles
